apr_drg_description,diagnosis,count
CHRONIC OBSTRUCTIVE PULMONARY DISEASE,Respiratory,414
SEPTICEMIA & DISSEMINATED INFECTIONS,Infection,379
HEART FAILURE,Cardiology,277
OTHER PNEUMONIA,Respiratory,268
BIPOLAR DISORDERS,Metal Health,193
MAJOR DEPRESSIVE DISORDERS & OTHER/UNSPECIFIED PSYCHOSES,Metal Health,180
ANGINA PECTORIS & CORONARY ATHEROSCLEROSIS,Cardiology,164
"NON-BACTERIAL GASTROENTERITIS, NAUSEA & VOMITING",Infection,140
ACUTE MYOCARDIAL INFARCTION,Cardiology,124
SYNCOPE & COLLAPSE,Cardiology,106
KIDNEY & URINARY TRACT INFECTIONS,Infection,105
SCHIZOPHRENIA,Metal Health,103
