apr_drg_description,diagnosis,count,,
SEPTICEMIA & DISSEMINATED INFECTIONS,Infection,267,,
HEART FAILURE,Cardiology,186,,
CHRONIC OBSTRUCTIVE PULMONARY DISEASE,Respiratory,180,,
RENAL FAILURE,Other,162,Renal,
OTHER PNEUMONIA,Respiratory,128,,
ACUTE MYOCARDIAL INFARCTION,Cardiology,103,,
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS,Other,97,Cardio,
PULMONARY EDEMA & RESPIRATORY FAILURE,Respiratory,59,,
ANGINA PECTORIS & CORONARY ATHEROSCLEROSIS,Cardiology,53,,
KIDNEY & URINARY TRACT INFECTIONS,Infection,42,,
CELLULITIS & OTHER BACTERIAL SKIN INFECTIONS,Other,39,Infection,
"SIGNS, SYMPTOMS & OTHER FACTORS INFLUENCING HEALTH STATUS",Other,39,,
MAJOR RESPIRATORY INFECTIONS & INFLAMMATIONS,Infection,37,,
HYPOVOLEMIA & RELATED ELECTROLYTE DISORDERS,Other,37,,
OTHER DIGESTIVE SYSTEM DIAGNOSES,Other,37,Digestive,
MAJOR SMALL & LARGE BOWEL PROCEDURES,Other,33,Digestive,
"NON-BACTERIAL GASTROENTERITIS, NAUSEA & VOMITING",Infection,33,,
SYNCOPE & COLLAPSE,Cardiology,27,,
"MALFUNCTION, REACTION, COMPLIC OF GENITOURINARY DEVICE OR PROC",Other,25,,
DIABETES,Diabetes,24,,
CVA & PRECEREBRAL OCCLUSION W INFARCT,Circulatory,23,,
INTESTINAL OBSTRUCTION,Other,22,Digestive,
OTHER ANEMIA & DISORDERS OF BLOOD & BLOOD-FORMING ORGANS,Circulatory,22,,
HEPATIC COMA & OTHER MAJOR ACUTE LIVER DISORDERS,Other,21,,
LAPAROSCOPIC CHOLECYSTECTOMY,Other,21,,Digestive
PERIPHERAL & OTHER VASCULAR DISORDERS,Circulatory,18,,
MAJOR GASTROINTESTINAL & PERITONEAL INFECTIONS,Infection,18,,
ELECTROLYTE DISORDERS EXCEPT HYPOVOLEMIA RELATED,Other,18,,
GASTROINTESTINAL VASCULAR INSUFFICIENCY,Circulatory,18,,
HIP & FEMUR PROCEDURES FOR TRAUMA EXCEPT JOINT REPLACEMENT,Other,17,Trauma,
POISONING OF MEDICINAL AGENTS,Other,17,,
PEPTIC ULCER & GASTRITIS,Other,17,Digestive,
HIP JOINT REPLACEMENT,Other,16,,
DISORDERS OF PANCREAS EXCEPT MALIGNANCY,Other,16,Digestive,
INFECTIOUS & PARASITIC DISEASES INCLUDING HIV W O.R. PROCEDURE,Infection,15,,
CHEST PAIN,Other,15,Cardio,
ABDOMINAL PAIN,Other,14,,
"PERM CARDIAC PACEMAKER IMPLANT W/O AMI, HEART FAILURE OR SHOCK",Cardiology,14,,
DIVERTICULITIS & DIVERTICULOSIS,Infection,14,,
SKIN ULCERS,Other,12,,
TRANSIENT ISCHEMIA,Circulatory,12,,
OTHER & UNSPECIFIED GASTROINTESTINAL HEMORRHAGE,Other,12,Digestive,
BIPOLAR DISORDERS,Metal Health,11,,
"OTHER RESPIRATORY DIAGNOSES EXCEPT SIGNS, SYMPTOMS & MINOR DIAGNOSES",Respiratory,11,,
MAJOR DEPRESSIVE DISORDERS & OTHER/UNSPECIFIED PSYCHOSES,Metal Health,11,,
RESPIRATORY MALIGNANCY,Cancer,11,,
"OTHER BACK & NECK DISORDERS, FRACTURES & INJURIES",Other,11,Trauma,
URETHRAL & TRANSURETHRAL PROCEDURES,Other,11,,
ALCOHOLIC LIVER DISEASE,Drug Issue,10,,
OTHER MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE DIAGNOSES,Other,10,,
NONTRAUMATIC STUPOR & COMA,Neurological,10,,
OTHER ESOPHAGEAL DISORDERS,Other,10,Digestive,
DEGENERATIVE NERVOUS SYSTEM DISORDERS EXC MULT SCLEROSIS,Neurological,9,,
HYPERTENSION,Circulatory,9,,
SCHIZOPHRENIA,Metal Health,9,,
"PERIPHERAL, CRANIAL & AUTONOMIC NERVE DISORDERS",Neurological,8,,
OTHER DISORDERS OF NERVOUS SYSTEM,Neurological,8,,
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,Respiratory,8,,
DISORDERS OF GALLBLADDER & BILIARY TRACT,Other,8,Digestive,
OTHER VASCULAR PROCEDURES,Other,7,Other Circulatory,
PULMONARY EMBOLISM,Respiratory,7,,
MAJOR RESPIRATORY & CHEST PROCEDURES,Respiratory,7,,
"OTHER KIDNEY & URINARY TRACT DIAGNOSES, SIGNS & SYMPTOMS",Other,7,,
"MALFUNCTION, REACTION & COMPLICATION OF GI DEVICE OR PROCEDURE",Other,7,,
ALCOHOL ABUSE & DEPENDENCE,Drug Issue,7,,
OTHER CIRCULATORY SYSTEM DIAGNOSES,Circulatory,7,,
VERTIGO & OTHER LABYRINTH DISORDERS,Other,6,Neruological,
VAGINAL DELIVERY,Other,6,,
"MALNUTRITION, FAILURE TO THRIVE & OTHER NUTRITIONAL DISORDERS",Other,6,,
NONEXTENSIVE PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS,Other,6,,
"RESPIRATORY SIGNS, SYMPTOMS & MINOR DIAGNOSES",Respiratory,6,,
"OSTEOMYELITIS, SEPTIC ARTHRITIS & OTHER MUSCULOSKELETAL INFECTIONS",Other,6,Infection,
OTHER DISORDERS OF THE LIVER,Other,6,Digestive,
"MAJOR STOMACH, ESOPHAGEAL & DUODENAL PROCEDURES",Other,6,Digestive,
"MALFUNCTION,REACTION,COMPLICATION OF CARDIAC/VASC DEVICE OR PROCEDURE",Cardiology,6,,
DIGESTIVE MALIGNANCY,Cancer,6,,
CESAREAN DELIVERY,Other,6,,
MAJOR ESOPHAGEAL DISORDERS,Other,6,Digestive,
EXTENSIVE PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS,Other,6,,
"POST-OPERATIVE, POST-TRAUMATIC, OTHER DEVICE INFECTIONS",Infection,5,,
OTHER INFECTIOUS & PARASITIC DISEASES,Infection,5,,
OTHER COMPLICATIONS OF TREATMENT,Other,5,,
OTHER SMALL & LARGE BOWEL PROCEDURES,Other,5,Digestive,
FRACTURE OF PELVIS OR DISLOCATION OF HIP,Other,5,,
KNEE JOINT REPLACEMENT,Other,5,,
