apr_drg_description,diagnosis,count
SEPTICEMIA & DISSEMINATED INFECTIONS,Infection,295
CHRONIC OBSTRUCTIVE PULMONARY DISEASE,Respiratory,200
HEART FAILURE,Cardiology,164
RENAL FAILURE,Other,140
OTHER PNEUMONIA,Respiratory,116
ACUTE MYOCARDIAL INFARCTION,Cardiology,99
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS,Other,69
CELLULITIS & OTHER BACTERIAL SKIN INFECTIONS,Other,53
MAJOR RESPIRATORY INFECTIONS & INFLAMMATIONS,Infection,44
ANGINA PECTORIS & CORONARY ATHEROSCLEROSIS,Cardiology,42
"NON-BACTERIAL GASTROENTERITIS, NAUSEA & VOMITING",Infection,40
KIDNEY & URINARY TRACT INFECTIONS,Infection,40
"SIGNS, SYMPTOMS & OTHER FACTORS INFLUENCING HEALTH STATUS",Other,38
MAJOR SMALL & LARGE BOWEL PROCEDURES,Other,35
PULMONARY EDEMA & RESPIRATORY FAILURE,Respiratory,35
HYPOVOLEMIA & RELATED ELECTROLYTE DISORDERS,Other,33
OTHER DIGESTIVE SYSTEM DIAGNOSES,Other,32
SYNCOPE & COLLAPSE,Cardiology,28
OTHER ANEMIA & DISORDERS OF BLOOD & BLOOD-FORMING ORGANS,Circulatory,27
ELECTROLYTE DISORDERS EXCEPT HYPOVOLEMIA RELATED,Other,26
"MALFUNCTION, REACTION, COMPLIC OF GENITOURINARY DEVICE OR PROC",Other,26
PEPTIC ULCER & GASTRITIS,Other,25
GASTROINTESTINAL VASCULAR INSUFFICIENCY,Circulatory,23
DISORDERS OF PANCREAS EXCEPT MALIGNANCY,Other,23
DIABETES,Diabetes,22
PERIPHERAL & OTHER VASCULAR DISORDERS,Circulatory,22
INTESTINAL OBSTRUCTION,Other,21
OTHER & UNSPECIFIED GASTROINTESTINAL HEMORRHAGE,Other,21
HIP & FEMUR PROCEDURES FOR TRAUMA EXCEPT JOINT REPLACEMENT,Other,18
LAPAROSCOPIC CHOLECYSTECTOMY,Other,16
INFECTIOUS & PARASITIC DISEASES INCLUDING HIV W O.R. PROCEDURE,Infection,16
OTHER MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE DIAGNOSES,Other,16
PULMONARY EMBOLISM,Respiratory,15
"PERM CARDIAC PACEMAKER IMPLANT W/O AMI, HEART FAILURE OR SHOCK",Cardiology,15
