,All Diagnoses,Infection,Neurological,Metal Health,Respiratory,Drug Issue,Cardiology,Diabetes,Circulatory,Cancer,Trauma,Year
Age Score,2.5054038997214483,2.7890792291220556,2.0822784810126582,1.0549019607843138,2.8537549407114624,0.8275154004106776,3.52834008097166,2.725,3.3864306784660765,1.6507936507936507,2.3333333333333335,2009
Percent Female,0.5966573816155989,0.588865096359743,0.5759493670886076,0.49019607843137253,0.558300395256917,0.3531827515400411,0.5809716599190283,0.4375,0.6342182890855457,0.49206349206349204,0.6,2009
Percent Caucasian,0.9367130919220056,0.961456102783726,0.9493670886075949,0.9352941176470588,0.9565217391304348,0.7330595482546202,0.9767206477732794,0.925,0.9498525073746312,0.9523809523809523,0.9333333333333333,2009
Avg APR Severity,1.9194428969359332,2.386509635974304,1.8987341772151898,1.772549019607843,2.233201581027668,1.6160164271047228,2.200404858299595,1.9625,2.056047197640118,2.4761904761904763,2.2666666666666666,2009
Avg APR Mortality Risk,1.624066852367688,2.112419700214133,1.620253164556962,1.1058823529411765,1.8893280632411067,1.0759753593429158,2.077935222672065,1.6875,1.8554572271386431,2.3333333333333335,2.1333333333333333,2009
Percent Emergency Admission,0.6606128133704735,0.8661670235546038,0.8544303797468354,0.8803921568627451,0.8320158102766798,0.48459958932238195,0.8906882591093117,0.925,0.7787610619469026,0.7301587301587301,1.0,2009
Age Score,2.5742909185532135,3.042458100558659,2.0714285714285716,1.0040080160320641,3.1027322404371587,1.4782608695652173,2.6213991769547325,2.8253968253968256,3.46,1.5384615384615385,0.2857142857142857,2010
Percent Female,0.6157949518605257,0.5754189944134078,0.5625,0.4288577154308617,0.6218579234972678,0.2898550724637681,0.5843621399176955,0.5238095238095238,0.5866666666666667,0.5384615384615384,0.7142857142857143,2010
Percent Caucasian,0.9395003903200625,0.958659217877095,0.9732142857142857,0.9078156312625251,0.9584699453551913,0.8840579710144928,0.9574759945130316,0.9365079365079365,0.9666666666666667,0.9487179487179487,1.0,2010
Avg APR Severity,1.9765807962529274,2.4983240223463685,2.0535714285714284,1.6973947895791583,2.3158469945355193,2.1159420289855073,2.3964334705075445,2.126984126984127,2.1366666666666667,2.4358974358974357,1.0,2010
Avg APR Mortality Risk,1.6811085089773614,2.2167597765363127,1.5892857142857142,1.088176352705411,1.9704918032786884,1.434782608695652,2.2743484224965704,1.7777777777777777,1.9133333333333333,2.076923076923077,1.2857142857142858,2010
Percent Emergency Admission,0.6677075201665366,0.8949720670391061,0.8571428571428571,0.8316633266533067,0.853551912568306,0.9710144927536232,0.9327846364883402,0.8412698412698413,0.7833333333333333,0.6666666666666666,1.0,2010
Age Score,2.5376374400902173,3.0185873605947955,3.1473684210526316,1.052757793764988,3.1489817792068595,1.5223880597014925,2.6090373280943027,2.4125,3.3933823529411766,1.52,1.5,2011
Percent Female,0.604595432760079,0.573729863692689,0.5157894736842106,0.4676258992805755,0.5594855305466238,0.208955223880597,0.5618860510805501,0.525,0.6397058823529411,0.48,0.6,2011
Percent Caucasian,0.9437552861573161,0.9467162329615861,0.9473684210526315,0.9040767386091128,0.9560557341907824,0.8805970149253731,0.9666011787819253,0.8875,0.9375,1.0,1.0,2011
Avg APR Severity,2.9410769664505216,2.4064436183395292,2.0105263157894737,1.6642685851318946,2.282958199356913,2.2388059701492535,2.2593320235756384,2.3625,2.0441176470588234,2.62,1.8,2011
Avg APR Mortality Risk,1.6644579162554631,2.154894671623296,1.7789473684210526,1.0455635491606714,1.9721329046087888,1.6119402985074627,2.180746561886051,1.725,1.9080882352941178,2.5,1.6,2011
Percent Emergency Admission,0.6583027910910628,0.9070631970260223,0.8526315789473684,0.8561151079136691,0.8692390139335477,0.8955223880597015,0.9096267190569745,0.9125,0.7536764705882353,0.8,1.0,2011
Age Score,2.517490952955368,3.156498673740053,3.0303030303030303,1.625,3.0978120978120978,1.5681818181818181,2.638655462184874,1.5517241379310345,3.4160305343511452,1.6363636363636365,0.5833333333333334,2012
Percent Female,0.5919352059279683,0.5649867374005305,0.6060606060606061,0.5,0.5353925353925354,0.25,0.5098039215686274,0.3793103448275862,0.6145038167938931,0.5636363636363636,0.16666666666666666,2012
Percent Caucasian,0.9408926417370326,0.9456233421750663,0.9393939393939394,0.9375,0.9613899613899614,0.8181818181818182,0.9439775910364145,0.9310344827586207,0.9465648854961832,1.0,1.0,2012
Avg APR Severity,3.082543511976564,2.7108753315649867,2.3181818181818183,2.1875,2.541827541827542,2.3181818181818183,2.53781512605042,2.603448275862069,2.2404580152671754,2.581818181818182,2.5833333333333335,2012
Avg APR Mortality Risk,1.8090313684936228,2.452254641909814,1.9545454545454546,1.5625,2.2316602316602316,1.6818181818181819,2.481792717086835,2.103448275862069,2.122137404580153,2.5636363636363635,2.3333333333333335,2012
Percent Emergency Admission,0.5998621402722729,0.9058355437665783,0.8636363636363636,0.8125,0.8622908622908623,0.8863636363636364,0.9019607843137255,0.9310344827586207,0.8206106870229007,0.7818181818181819,0.8333333333333334,2012
Age Score,2.4525157741465784,3.197055492638732,3.08,1.9931972789115646,3.189792663476874,1.5573770491803278,2.595533498759305,2.525,3.4153846153846152,2.38,2.0833333333333335,2013
Percent Female,0.5955347031224721,0.5334088335220838,0.48,0.4880952380952381,0.5454545454545454,0.4262295081967213,0.5359801488833746,0.475,0.6205128205128205,0.58,0.5833333333333334,2013
Percent Caucasian,0.9288141077495551,0.9411098527746319,0.96,0.8996598639455783,0.960127591706539,0.8852459016393442,0.9602977667493796,0.825,0.9282051282051282,0.98,0.8333333333333334,2013
Avg APR Severity,2.0949684517068436,2.7655719139297847,2.32,1.629251700680272,2.555023923444976,2.2131147540983607,2.4615384615384617,2.625,2.194871794871795,2.78,2.1666666666666665,2013
Avg APR Mortality Risk,1.8084452353988028,2.576443941109853,2.06,1.0680272108843538,2.291866028708134,1.6065573770491803,2.468982630272953,2.025,2.117948717948718,2.7,2.0833333333333335,2013
Percent Emergency Admission,0.6647791619479049,0.9479048697621744,0.96,0.891156462585034,0.9154704944178629,0.9016393442622951,0.9528535980148883,1.0,0.8153846153846154,0.9,1.0,2013
Age Score,2.488372093023256,3.267605633802817,3.037037037037037,1.0112,3.244698205546493,1.1348314606741574,2.477815699658703,2.475,3.374269005847953,1.5636363636363637,0.9090909090909091,2014
Percent Female,0.583417593528817,0.5394366197183098,0.4074074074074074,0.5488,0.5481239804241436,0.34831460674157305,0.4249146757679181,0.4,0.5555555555555556,0.7090909090909091,0.45454545454545453,2014
Percent Caucasian,0.9287158746208292,0.9352112676056338,0.9629629629629629,0.9136,0.9526916802610114,0.7752808988764045,0.9590443686006825,0.9,0.935672514619883,1.0,1.0,2014
Avg APR Severity,2.088473205257836,2.8098591549295775,2.4074074074074074,1.6272,2.6835236541598695,2.191011235955056,2.332764505119454,2.375,2.327485380116959,2.690909090909091,2.5454545454545454,2014
Avg APR Mortality Risk,1.8233906302662621,2.674647887323944,2.185185185185185,1.0736,2.435562805872757,1.5730337078651686,2.33617747440273,1.825,2.2690058479532165,2.5272727272727273,2.6363636363636362,2014
Percent Emergency Admission,0.6651499831479609,0.9492957746478873,0.8888888888888888,0.8976,0.8890701468189234,0.8764044943820225,0.8907849829351536,0.975,0.8421052631578947,0.8,1.0,2014
Age Score,2.5387478849407783,3.249075215782984,2.142857142857143,1.112701252236136,3.2857142857142856,2.2093023255813953,2.4700996677740865,1.5769230769230769,2.216417910447761,1.4761904761904763,1.2857142857142858,2015
