,data_type,Disease,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,Data,CLRD,,180.0,200.0,166.0,165.0,168.0,188.0,241.0,189.0
1,Data,Cancer,,33.0,16.0,29.0,37.0,35.0,34.0,28.0,28.0
2,Data,Diabetes,,24.0,22.0,33.0,35.0,24.0,18.0,26.0,26.0
3,Data,Drug Issue,,21.0,21.0,21.0,16.0,19.0,28.0,22.0,15.0
4,Data,Heart Disease,,397.0,361.0,224.0,207.0,232.0,310.0,316.0,239.0
5,Data,Infection,,443.0,475.0,406.0,474.0,583.0,499.0,516.0,416.0
6,Data,Metal Health,,35.0,22.0,9.0,5.0,12.0,20.0,21.0,8.0
7,Data,Neurological,,40.0,33.0,25.0,29.0,23.0,15.0,12.0,28.0
8,Data,Other,,776.0,745.0,687.0,612.0,663.0,619.0,570.0,472.0
9,Data,Other Circulatory,,98.0,105.0,89.0,106.0,83.0,87.0,63.0,52.0
10,Data,Other Respiratory,,233.0,201.0,217.0,256.0,182.0,215.0,205.0,227.0
11,Data,Renal Failure,,162.0,140.0,136.0,142.0,159.0,130.0,110.0,114.0
12,Data,Stroke,,25.0,15.0,10.0,16.0,10.0,4.0,2.0,12.0
13,Data,Trauma,,6.0,,2.0,7.0,5.0,7.0,4.0,7.0
14,DOH,Heart Disease,286.4,259.4,313.2,293.6,258.9,235.1,247.4,271.8,
15,DOH,Cancer,184.1,175.5,188.9,159.3,149.0,157.4,175.4,170.1,
16,DOH,CLRD,45.2,57.9,65.4,56.3,61.0,38.9,37.2,57.7,
17,DOH,Stroke,20.0,37.0,39.0,36.0,39.0,38.0,36.0,39.0,
18,DOH,Unintentional Injury,35.7,,39.8,42.0,30.2,45.0,,42.9,
19,DOH,Diabetes,,,,,,36.8,,42.9,
